sample_barcode	sample_id
TARGET-50-CAAAAR-11A-01R_2	SRR1796973
TARGET-50-PAJLKR-01A-01R_2	SRR1796974
TARGET-50-PAJNTJ-01A-01R_2	SRR1796975
TARGET-50-PAKZFK-01A-01R_2	SRR1796976
TARGET-50-PAJPDC-01A-01R_2	SRR1796978
TARGET-50-PAKUIT-01A-01R_2	SRR1796979
TARGET-50-PAJNRL-01A-01R_2	SRR1796980
TARGET-50-PALEZT-01A-01R_2	SRR1796981
TARGET-50-CAAAAJ-01A-01R_2	SRR1796983
TARGET-50-PAKFYV-01A-01R_2	SRR1796984
TARGET-50-PAKPDF-01A-01R_2	SRR1796985
TARGET-50-CAAAAQ-11A-01R_2	SRR1796986
TARGET-50-PAJNZK-01A-01R_2	SRR1796987
TARGET-50-PAKRZW-01A-01R_2	SRR1796988
TARGET-50-PAJNGH-02A-01R_2	SRR1796989
TARGET-50-PAJMVU-01A-01R_2	SRR1796990
TARGET-50-PAJNZI-01A-01R_2	SRR1796991
TARGET-50-PAJNYT-01A-02R_2	SRR1796992
TARGET-50-PAKULH-01A-02R_2	SRR1796993
TARGET-50-PAJLIP-01A-01R_2	SRR1796995
TARGET-50-PALFME-01A-01R_2	SRR1796996
TARGET-50-CAAAAO-01A-01R_2	SRR1796997
TARGET-50-PADZUB-01A-01R_2	SRR1796998
TARGET-50-PAJNVX-01A-01R_2	SRR1796999
TARGET-50-PAJMEP-01A-01R_2	SRR1797000
TARGET-50-CAAAAB-01A-01R_2	SRR1797001
TARGET-50-PAJNTJ-02A-01R_2	SRR1797002
TARGET-50-PAJMKI-01A-01R_2	SRR1797003
TARGET-50-PAJLNJ-01A-01R_2	SRR1797004
TARGET-50-PAKNTW-01A-02R_2	SRR1797005
TARGET-50-CAAAAR-01A-01R_2	SRR1797006
TARGET-50-PAJPDN-01A-01R_2	SRR1797008
TARGET-50-PAJPGY-01A-01R_2	SRR1797009
TARGET-50-PAJLWT-01A-01R_2	SRR1797010
TARGET-50-PAJNUP-01A-01R_2	SRR1797011
TARGET-50-PALERC-01A-01R_2	SRR1797012
TARGET-50-PAJNRH-01A-01R_2	SRR1797013
TARGET-50-PALLFB-01A-01R_2	SRR1797014
TARGET-50-PALKCW-01A-01R_2	SRR1797015
TARGET-50-PAJPAR-01A-01R_2	SRR1797016
TARGET-50-PAJLKC-01A-01R_2	SRR1797017
TARGET-50-PAKXXF-01A-01R_2	SRR1797018
TARGET-50-PAJMIZ-01A-01R_2	SRR1797019
TARGET-50-PAJLTH-01A-01R_2	SRR1797020
TARGET-50-PAJNNC-01A-01R_2	SRR1797021
TARGET-50-PAJLLF-01A-01R_2	SRR1797022
TARGET-50-PAJLTI-01A-01R_2	SRR1797023
TARGET-50-PAJNAV-01A-01R_2	SRR1797024
TARGET-50-PAJPAU-01A-01R_2	SRR1797025
TARGET-50-PAKXWB-01A-01R_2	SRR1797026
TARGET-50-PALKCW-11A-01R_2	SRR1797027
TARGET-50-PAJMKN-01A-01R_2	SRR1797028
TARGET-50-PAJLUJ-06A-01R_2	SRR1797029
TARGET-50-PAKWPM-01A-01R_2	SRR1797030
TARGET-50-PALJIP-01A-01R_2	SRR1797031
TARGET-50-PAJNJJ-01A-01R_2	SRR1797032
TARGET-50-PAJNCC-01A-01R_2	SRR1797033
TARGET-50-PAKKNS-01A-01R_2	SRR1797034
TARGET-50-PAEAFB-01A-01R_2	SRR1797035
TARGET-50-PAJMMY-01A-01R_2	SRR1797036
TARGET-50-PAJNGH-01A-01R_2	SRR1797037
TARGET-50-CAAAAM-01A-01R_2	SRR1797038
TARGET-50-PAJMSE-01A-01R_2	SRR1797039
TARGET-50-PALFRD-01A-01R_2	SRR1797040
TARGET-50-PAJMLZ-01A-01R_2	SRR1797041
TARGET-50-PALDWP-01A-01R_2	SRR1797042
TARGET-50-PAJNAA-01A-01R_2	SRR1797043
TARGET-50-PALGLU-01A-01R_2	SRR1797044
TARGET-50-PAJLSP-01A-01R_2	SRR1797045
TARGET-50-PAKNXS-01A-01R_2	SRR1797046
TARGET-50-PAKZHF-01A-01R_2	SRR1797047
TARGET-50-PAJMEL-01A-01R_2	SRR1797048
TARGET-50-PAKGMU-01A-01R_2	SRR1797049
TARGET-50-PAKYFC-01A-01R_2	SRR1797050
TARGET-50-PAKJGM-01A-01R_2	SRR1797051
TARGET-50-PAJNZS-01A-01R_2	SRR1797052
TARGET-50-PALKRS-01A-01R_2	SRR1797053
TARGET-50-CAAAAC-01A-01R_2	SRR1797054
TARGET-50-PAJMEN-01A-01R_2	SRR1797055
TARGET-50-PAJMUF-01A-01R_2	SRR1797056
TARGET-50-PAKSCC-01A-01R_2	SRR1797058
TARGET-50-PAJMJT-01A-01R_2	SRR1797059
TARGET-50-PAKNRX-01A-01R_2	SRR1797060
TARGET-50-PAKSDG-01A-01R_2	SRR1797061
TARGET-52-PASGCL-01A-02R	SRR2042832
TARGET-52-PARZRH-01A-02R_1	SRR2042833
TARGET-52-PARKKN-01A-01R	SRR2042834
TARGET-52-PADYCE-01A-01R_1	SRR2042835
TARGET-52-PAKPEW-01A-01R_1	SRR2042836
TARGET-52-PASAMZ-01A-01R	SRR2042837
TARGET-52-PAJMBW-01A-01R	SRR2042838
TARGET-52-PAJLRA-01A-01R_1	SRR2042839
TARGET-52-PAVITI-01A-01R	SRR2042840
TARGET-52-PASILR-01A-01R	SRR2042841
TARGET-52-PADYCE-01A-01R_2	SRR2042842
TARGET-52-PASGGN-01A-01R	SRR2042843
TARGET-52-PASNED-01A-01R_1	SRR2042844
TARGET-52-PAKPEW-01A-01R_2	SRR2042845
TARGET-52-PARZRH-01A-02R_2	SRR2042846
TARGET-52-PASXGF-01A-01R	SRR2042847
TARGET-52-PAWFWK-01A-01R_1	SRR2042848
TARGET-52-PAEHIP-01A-01R	SRR2042849
TARGET-52-PAJLRA-01A-01R_2	SRR2042850
TARGET-52-PADWRZ-01A-01R	SRR2042851
TARGET-52-PAREWI-01A-02R	SRR2042852
TARGET-52-PAJPHJ-01A-01R	SRR2042853
TARGET-52-PAWFWK-01A-01R_2	SRR2042854
TARGET-52-PAWFBL-01A-01R	SRR2042855
TARGET-52-PAVVIT-01A-01R	SRR2042856
TARGET-52-PAKLYZ-01A-01R	SRR2042857
TARGET-52-PAVCKS-01A-01R	SRR2042858
TARGET-52-PARTKH-01A-01R_1	SRR2042859
TARGET-52-PARTKH-01A-01R_2	SRR2042860
TARGET-52-PASNED-01A-01R_2	SRR2042861
TARGET-52-PAKTCT-01A-01R	SRR2042862
TARGET-52-PAVDPR-01A-01R	SRR2042863
TARGET-52-PATAFT-01A-01R_2	SRR1799038
TARGET-52-PASYNF-01A-01R_2	SRR1799041
TARGET-52-PARZBI-11A-01R_2	SRR1799042
TARGET-52-PARPFY-11A-01R_2	SRR1799043
TARGET-52-PAUFVP-01A-01R_2	SRR1799047
TARGET-52-PARPFY-01A-01R_2	SRR1799049
TARGET-52-PARRCL-11A-01R_2	SRR1799052
TARGET-52-PAUGYZ-01A-01R_2	SRR1799053
TARGET-52-PASVDP-01A-01R_2	SRR1799054
TARGET-52-PASRHU-01A-02R_2	SRR1799055
TARGET-52-PASDLA-11A-01R_2	SRR1799056
TARGET-52-PATFXW-01A-01R_2	SRR1799057
TARGET-52-PARGRN-01A-01R_2	SRR1799060
TARGET-52-PASWZZ-01A-01R_2	SRR1799063
TARGET-52-PASXNA-11A-01R_2	SRR1799065
TARGET-52-PARECB-01A-01R_2	SRR1799067
TARGET-52-PABKLN-01A-01R_2	SRR1799069
TARGET-52-PATENH-01A-01R_2	SRR1799072
TARGET-52-PARUGK-01A-01R_2	SRR1799073
TARGET-52-PARRCL-01A-01R_2	SRR1799075
TARGET-52-PAUHAZ-01A-01R_2	SRR1799077
TARGET-52-PAUNPA-01A-01R_2	SRR1799079
TARGET-52-PATBLF-01A-01R_2	SRR1799080
TARGET-52-PAUDPV-11A-01R_2	SRR1799082
TARGET-52-PAJLWM-01A-01R_2	SRR1799083
TARGET-52-PASDLA-01A-01R_2	SRR1799084
TARGET-52-PATDVL-01A-01R_2	SRR1799085
TARGET-52-PASADZ-01A-01R_2	SRR1799086
TARGET-52-PARZBI-01A-02R_2	SRR1821985
TARGET-20-PARLSW-09A-02R	SRR2083106
TARGET-20-PABHKY-03A-02R	SRR2083107
TARGET-20-PAEENN-09A-01R	SRR2083108
TARGET-20-PATBFL-09A-01R	SRR2083109
TARGET-20-PARBVE-09A-02R	SRR2083110
TARGET-20-PAPWZR-09A-01R	SRR2083111
TARGET-20-PAPUNR-09A-02R	SRR2083112
TARGET-20-PATFDF-09A-01R	SRR2083113
TARGET-20-PASNIY-09A-02R	SRR2083114
TARGET-20-PANBYS-09A-03R	SRR2083115
TARGET-20-PAKKBK-09A-02R	SRR2083116
TARGET-20-PARKFB-09A-02R	SRR2083117
TARGET-20-PASSWG-03A-01R	SRR2083118
TARGET-20-PAEAFC-09A-03R	SRR2083119
TARGET-20-PARBTV-09A-02R	SRR2083120
TARGET-20-PALBYP-09A-02R	SRR2083121
TARGET-20-PAKRUP-09A-02R	SRR2083122
TARGET-20-PASECW-09A-04R	SRR2083123
TARGET-20-PARPBF-09A-02R	SRR2083124
TARGET-20-PARLMY-09A-01R	SRR2083125
TARGET-20-PAEJBT-09A-02R	SRR2083126
TARGET-20-PARVUA-03A-02R	SRR2083128
TARGET-20-PARJWH-09A-01R	SRR2083129
TARGET-20-PARURW-09A-02R	SRR2083130
TARGET-20-PASKGH-09A-01R	SRR2083131
TARGET-20-PAKHBF-09A-01R	SRR2083132
TARGET-20-PABHET-03A-02R	SRR2083133
TARGET-20-PARHVI-03A-03R	SRR2083134
TARGET-20-PARPVZ-09A-02R	SRR2083135
TARGET-20-PARHBA-03A-02R	SRR2083136
TARGET-20-PARTXH-09A-03R	SRR2083137
TARGET-20-PAPVGE-09A-03R	SRR2083138
TARGET-20-PARTXH-09A-02R	SRR2083139
TARGET-20-PATGAN-03A-01R	SRR2083140
TARGET-20-PASREH-09A-02R	SRR2083141
TARGET-20-PASRTP-09A-01R_1	SRR2083142
TARGET-20-PASPWZ-03A-01R	SRR2083143
TARGET-20-PADZKD-09A-02R	SRR2083144
TARGET-20-PAPZIZ-09A-03R	SRR2083145
TARGET-20-PARTYV-09A-03R	SRR2083146
TARGET-20-PAREFM-09A-02R	SRR2083147
TARGET-20-PASWAT-09A-02R	SRR2083148
TARGET-20-PASBPW-09A-02R	SRR2083149
TARGET-20-PAEGRE-03A-02R	SRR2083150
TARGET-20-PAPZLT-09A-02R	SRR2083151
TARGET-20-PASWTY-09A-01R	SRR2083152
TARGET-20-PARBFZ-03A-02R	SRR2083153
TARGET-20-PARDZW-09A-01R	SRR2083154
TARGET-20-PAPXUF-09A-01R_1	SRR2083155
TARGET-20-PASLDL-09A-02R	SRR2083156
TARGET-20-PALVKV-09A-02R	SRR2083157
TARGET-20-PABGKN-09A-01R	SRR2083158
TARGET-20-PASHWN-09A-01R	SRR2083159
TARGET-20-PANLRE-09A-05R	SRR2083160
TARGET-20-PASPFE-09A-01R	SRR2083161
TARGET-20-PASRRB-03A-01R	SRR2083162
TARGET-20-PACDZR-09A-02R_1	SRR2083163
TARGET-20-PAEGRI-03A-01R	SRR2083164
TARGET-20-PARDDA-09A-02R	SRR2083165
TARGET-20-PAKVYM-09A-02R	SRR2083166
TARGET-20-PASEGC-09A-01R	SRR2083167
TARGET-20-PASFNP-09A-02R	SRR2083168
TARGET-20-PAECBZ-09A-03R	SRR2083169
TARGET-20-PARHJV-09A-01R	SRR2083170
TARGET-20-PAESVN-09A-02R	SRR2083171
TARGET-20-PANVBP-09A-02R	SRR2083172
TARGET-20-PARCEV-09A-02R	SRR2083173
TARGET-20-PASDGX-09A-02R	SRR2083175
TARGET-20-PASPTW-09A-02R	SRR2083176
TARGET-20-PASPSV-09A-02R	SRR2083177
TARGET-20-PANLXK-09A-03R	SRR2083178
TARGET-20-PASJEJ-09A-02R	SRR2083179
TARGET-20-PARCHW-09A-01R	SRR2083180
TARGET-20-PAPAEG-09A-02R	SRR2083181
TARGET-20-PADDXZ-03A-02R_1	SRR2083182
TARGET-20-PARWXU-09A-02R	SRR2083183
TARGET-20-PARXZP-09A-01R	SRR2083184
TARGET-20-PANJVI-03A-02R	SRR2083185
TARGET-20-PASEFD-09A-01R	SRR2083186
TARGET-20-PAMVVP-09A-03R	SRR2083187
TARGET-20-PALHVV-09A-02R	SRR2083188
TARGET-20-PALFVW-09A-01R	SRR2083189
TARGET-20-PAEFHC-09A-02R	SRR2083190
TARGET-20-PASLTF-09A-02R	SRR2083191
TARGET-20-PARGTL-09A-02R	SRR2083192
TARGET-20-PARMME-09A-02R	SRR2083193
TARGET-20-PASBSB-03A-01R	SRR2083194
TARGET-20-PARTST-09A-02R	SRR2083195
TARGET-20-PASXVC-09A-01R	SRR2083196
TARGET-20-PARMZC-09A-02R	SRR2083197
TARGET-20-PARVSF-09A-02R	SRR2083198
TARGET-20-PASTPU-09A-01R	SRR2083199
TARGET-20-PANBWF-09A-03R	SRR2083200
TARGET-20-PASUHK-09A-01R	SRR2083201
TARGET-20-PAERAH-09A-03R	SRR2083202
TARGET-20-PASIZX-09A-01R	SRR2083203
TARGET-20-PAEDKB-04A-01R_2	SRR1791120
TARGET-20-PARDMG-09A-03R_2	SRR1791121
TARGET-20-PANHYK-09A-01R_2	SRR1791122
TARGET-20-PAEFGR-09A-02R_2	SRR1791123
TARGET-20-PAKIYW-09A-01R_2	SRR1791124
TARGET-20-PAEFGT-04A-01R_2	SRR1791125
TARGET-20-PALGKX-04A-01R_2	SRR1791126
TARGET-20-PASWAJ-04A-02R_2	SRR1791127
TARGET-20-PAKIWK-09A-01R_2	SRR1791128
TARGET-20-PASINN-04A-02R_2	SRR1791129
TARGET-20-PANLIZ-04A-02R_2	SRR1791130
TARGET-20-PADYIR-09A-01R_2	SRR1791131
TARGET-20-PASFJB-03A-01R_2	SRR1791132
TARGET-20-PARBIU-04A-02R_2	SRR1791133
TARGET-20-PAEERJ-09A-01R_2	SRR1791134
TARGET-20-PASJGZ-04A-01R_2	SRR1791135
TARGET-20-PAMYAS-04A-03R_2	SRR1791136
TARGET-20-PARXNG-09A-01R_3	SRR1791137
TARGET-20-PADZCG-04A-01R_2	SRR1791138
TARGET-20-PAKIWK-04A-01R_2	SRR1791139
TARGET-20-PAEIKD-04A-01R_2	SRR1791140
TARGET-20-PARDDY-04A-01R_2	SRR1791141
TARGET-20-PAKTCX-04A-01R_2	SRR1791142
TARGET-20-PANLLX-09A-01R_2	SRR1791143
TARGET-20-PARYFN-03A-01R_2	SRR1791144
TARGET-20-PANLIR-09A-02R_2	SRR1791145
TARGET-20-PARSAN-03A-01R_2	SRR1791146
TARGET-20-PANUTB-09A-05R_2	SRR1791148
TARGET-20-PARYVW-04A-02R_2	SRR1791149
TARGET-20-PAKERZ-04A-01R_2	SRR1791150
TARGET-20-PASMYS-04A-02R_2	SRR1791151
TARGET-20-PASXNR-04A-01R_2	SRR1791152
TARGET-20-PASCGR-03A-02R_2	SRR1791154
TARGET-20-PASFEW-09A-05R_2	SRR1791155
TARGET-20-PASBBE-04A-02R_2	SRR1791156
TARGET-20-PABLDZ-04A-01R_2	SRR1791157
TARGET-20-PARCVS-04A-01R_2	SRR1791158
TARGET-20-PAPXRJ-09A-01R_2	SRR1791159
TARGET-20-PASGWH-04A-02R_2	SRR1791160
TARGET-20-PANGTF-09A-04R_2	SRR1791161
TARGET-20-PARFAL-04A-01R_2	SRR1791162
TARGET-20-PASCRZ-04A-01R_2	SRR1791165
TARGET-20-PANLIZ-09A-03R_2	SRR1791166
TARGET-20-PASCGR-04A-01R_2	SRR1791167
TARGET-20-PAEIKD-09A-01R_2	SRR1791168
TARGET-20-PANLXM-09A-03R_2	SRR1791169
TARGET-20-PAEERJ-04A-01R_2	SRR1791170
TARGET-20-PAKERZ-09A-01R_2	SRR1791171
TARGET-20-PASTTW-09A-01R_2	SRR1791172
TARGET-20-PANNHB-09A-03R_2	SRR1791173
TARGET-20-PASTUH-04A-01R_2	SRR1796857
TARGET-20-PANVGP-03A-04R_2	SRR1796859
TARGET-20-PANPLS-03A-04R_2	SRR1796860
TARGET-20-PASPTM-09A-03R_2	SRR1796861
TARGET-20-PARDDY-09A-05R_2	SRR1796862
TARGET-20-PARSHM-03A-02R_2	SRR1796863
TARGET-20-PASHYZ-04A-01R_2	SRR1796864
TARGET-20-PAKTCX-09A-02R_2	SRR1796865
TARGET-20-PATELT-03A-05R_2	SRR1796866
TARGET-20-PAECCE-09A-01R_2	SRR1796867
TARGET-20-PAKVGI-09A-01R_2	SRR1796868
TARGET-20-PARUUB-09A-02R_2	SRR1796869
TARGET-20-PARIHK-03A-03R_2	SRR1796870
TARGET-20-PALGKX-09A-03R_2	SRR1796871
TARGET-20-PASWPD-09A-02R_2	SRR1796874
TARGET-20-PANFMG-09A-04R_2	SRR1796875
TARGET-20-PARVAI-03A-02R_2	SRR1796877
TARGET-20-PASGGK-03A-01R_2	SRR1796878
TARGET-20-PASPLU-09A-02R_2	SRR1796879
TARGET-20-PANSBH-09A-05R_2	SRR1796880
TARGET-20-PARWDZ-09A-01R_2	SRR1796881
TARGET-20-PAPXRJ-04A-02R_2	SRR1796882
TARGET-20-PANPKN-09A-03R_2	SRR1796883
TARGET-20-PASBPK-09A-02R_2	SRR1796884
TARGET-20-PASXYG-09A-05R_2	SRR1796885
TARGET-20-PARBXE-09A-04R_2	SRR1796886
TARGET-20-PARCZL-09A-02R_2	SRR1796887
TARGET-20-PARIMT-03A-01R_2	SRR1796888
TARGET-20-PANCSC-09A-03R_2	SRR1796889
TARGET-20-PARUNX-04A-01R_2	SRR1796890
TARGET-20-PAPVDV-03A-01R_2	SRR1796891
TARGET-20-PASYJI-04A-02R_2	SRR1796892
TARGET-20-PABLDZ-09A-04R_2	SRR1796893
TARGET-20-PARFAL-09A-05R_2	SRR1796894
TARGET-20-PANYNR-03A-03R_2	SRR1796897
TARGET-20-PASJTM-09A-01R_2	SRR1796898
TARGET-20-PARPDS-09A-01R_2	SRR1796899
TARGET-20-PASBHI-09A-01R_2	SRR1796900
TARGET-20-PARBIU-09A-03R_2	SRR1796901
TARGET-20-PARYGA-09A-03R_2	SRR1796902
TARGET-20-PASGWH-09A-04R_2	SRR1796903
TARGET-20-PASVVS-04A-01R_2	SRR1796905
TARGET-20-PASVVS-09A-03R_2	SRR1796906
TARGET-20-PARXBT-09A-02R_2	SRR1796907
TARGET-20-PARYFN-04A-01R_2	SRR1796908
TARGET-20-PASMHY-03A-03R_2	SRR1796909
TARGET-20-PANGDN-09A-05R_2	SRR1796910
TARGET-20-PASTUH-03A-01R_2	SRR1796911
TARGET-20-PARENB-09A-03R_2	SRR1796912
TARGET-20-PARCZL-04A-02R_2	SRR1796913
TARGET-20-PADZCG-09A-02R_2	SRR1796914
TARGET-20-PARIZR-03A-02R_2	SRR1796915
TARGET-20-PARXMP-09A-02R_2	SRR1796916
TARGET-20-PASGZS-04A-01R_2	SRR1796917
TARGET-20-PARCCH-03A-03R_2	SRR1796919
TARGET-20-PARTAL-09A-02R_2	SRR1796920
TARGET-20-PAMYGX-09A-03R_2	SRR1796921
TARGET-20-PAEFGT-03A-01R_2	SRR1796922
TARGET-20-PASPLU-04A-01R_2	SRR1796923
TARGET-20-PARKCX-09A-03R_2	SRR1796924
TARGET-20-PARZUU-09A-04R_2	SRR1796925
TARGET-20-PASPGA-09A-02R_2	SRR1796926
TARGET-20-PARYVW-09A-01R_2	SRR1796927
TARGET-20-PASIBG-09A-01R_2	SRR1796928
TARGET-20-PARTAL-04A-01R_2	SRR1796929
TARGET-20-PARUNX-09A-04R_2	SRR1796930
TARGET-20-PANDIX-09A-03R_2	SRR1796931
TARGET-20-PANYSN-03A-04R_2	SRR1796932
TARGET-20-PANLJN-09A-03R_2	SRR1810574
TARGET-20-PANVGE-09A-02R_2	SRR1810575
TARGET-20-PASSSI-09A-02R_2	SRR1810576
TARGET-20-PANTPW-09A-02R_2	SRR1810577
TARGET-20-PARZWH-09A-03R_2	SRR1810578
TARGET-20-PASMGW-09A-01R_2	SRR1810579
TARGET-20-PASHBI-09A-01R_3	SRR1810581
TARGET-20-PATDNN-09A-03R_2	SRR1810582
TARGET-20-PANINI-09A-03R_2	SRR1810583
TARGET-20-PANDER-09A-02R_2	SRR1810584
TARGET-20-PANPTM-09A-02R_2	SRR1810585
TARGET-20-PASWPT-09A-01R_2	SRR1810586
TARGET-20-PANTNA-09A-02R_2	SRR1810587
TARGET-20-PANJGR-09A-03R_2	SRR1810588
TARGET-20-PARAJX-09A-02R_2	SRR1810589
TARGET-20-PAMVKZ-09A-03R_2	SRR1810591
TARGET-20-PATAST-09A-01R_2	SRR1810592
TARGET-20-PARANT-09A-02R_2	SRR1810594
TARGET-20-PANKKE-09A-03R_2	SRR1810595
TARGET-20-PANBZH-09A-03R_2	SRR1810596
TARGET-20-PANWHP-09A-02R_2	SRR1810597
TARGET-20-PANSJB-09A-03R_2	SRR1810598
TARGET-20-PATDHA-09A-01R_2	SRR1810599
TARGET-20-PARCUK-09A-03R_2	SRR1810600
TARGET-20-PASZLJ-09A-01R_2	SRR1810601
TARGET-20-PARUTH-09A-04R_2	SRR1810602
TARGET-20-PARGVC-03A-03R_2	SRR1810603
TARGET-20-PARBRA-09A-03R_2	SRR1810604
TARGET-20-PANLKB-09A-03R_2	SRR1810605
TARGET-20-PAPVCN-09A-03R_2	SRR1810606
TARGET-20-PASWAJ-09A-04R_2	SRR1810607
TARGET-20-PARPWL-09A-03R_2	SRR1810608
TARGET-20-PASWAT-09A-01R_2	SRR1810609
TARGET-20-PANZWB-09A-02R_2	SRR1810610
TARGET-20-PARBFJ-09A-02R_2	SRR1810611
TARGET-20-PARMZF-09A-02R_2	SRR1810612
TARGET-20-PAKLPD-09A-02R_2	SRR1810613
TARGET-20-PANKFZ-09A-04R_2	SRR1810614
TARGET-20-PANGCM-03A-03R_2	SRR1810615
TARGET-20-PANZKA-09A-02R_2	SRR1810616
TARGET-20-PARJCR-09A-01R_2	SRR1810617
TARGET-20-PANNJI-09A-03R_2	SRR1810618
TARGET-20-PASLSD-03A-01R_2	SRR1810619
TARGET-20-PANYGP-09A-01R_2	SRR1810620
TARGET-20-PAPWHS-09A-03R_2	SRR1810621
TARGET-20-PASCCS-09A-01R_2	SRR1810622
TARGET-20-PAPAWN-09A-02R_2	SRR1810623
TARGET-20-PARASV-03A-03R_2	SRR1810624
TARGET-20-PAMYAS-09A-03R_2	SRR1810625
TARGET-20-PARHVK-09A-04R_2	SRR1810626
TARGET-20-PARUWX-09A-02R_2	SRR1810627
TARGET-20-PASHYZ-09A-03R_2	SRR1810628
TARGET-20-PATIAK-09A-01R_2	SRR1810629
TARGET-20-PASIEJ-09A-01R_2	SRR1810630
TARGET-20-PASGMZ-09A-01R_2	SRR1810632
TARGET-20-PARJYP-03A-01R_3	SRR1810633
TARGET-20-PASWLN-09A-01R_2	SRR1810634
TARGET-20-PANGJY-09A-03R_2	SRR1810635
TARGET-20-PANKNB-09A-03R_2	SRR1810636
TARGET-20-PAPWIU-09A-03R_2	SRR1810637
TARGET-20-PANUUA-09A-02R_2	SRR1810638
TARGET-20-PANAEV-09A-03R_2	SRR1810640
TARGET-20-PAPVZK-09A-03R_2	SRR1810641
TARGET-20-PASPKE-09A-04R_2	SRR1810642
TARGET-20-PAPWYK-09A-03R_2	SRR1810643
TARGET-20-PASVYL-09A-01R_2	SRR1810644
TARGET-20-PANKFG-09A-02R_2	SRR1821181
TARGET-20-PAMYJX-09A-04R_2	SRR1821182
TARGET-10-PARASZ-09A-01R	SRR3162129
TARGET-10-PARAYM-09A-01R	SRR3162130
TARGET-10-PARCVM-03A-01R	SRR3162131
TARGET-10-PAREGZ-09A-01R	SRR3162132
TARGET-10-PARFDL-09A-01R	SRR3162133
TARGET-10-PARFIH-09A-01R	SRR3162134
TARGET-10-PARFPJ-09A-01R	SRR3162135
TARGET-10-PARFXJ-09A-01R	SRR3162136
TARGET-10-PARGFL-09A-01R	SRR3162137
TARGET-10-PARHBI-09A-01R	SRR3162138
TARGET-10-PARHBT-09A-01R	SRR3162139
TARGET-10-PARHES-09A-01R	SRR3162140
TARGET-10-PARIYD-09A-01R	SRR3162141
TARGET-10-PARIZN-09A-01R	SRR3162142
TARGET-10-PARJAY-09A-01R	SRR3162143
TARGET-10-PARJNX-09A-01R	SRR3162144
TARGET-10-PARJPL-09A-01R	SRR3162145
TARGET-10-PARJXW-09A-01R	SRR3162146
TARGET-10-PARKLK-09A-01R	SRR3162147
TARGET-10-PARLJA-09A-01R	SRR3162148
TARGET-10-PARLST-09A-01R	SRR3162149
TARGET-10-PARMFF-09A-01R	SRR3162150
TARGET-10-PARMIH-09A-01R	SRR3162151
TARGET-10-PARMKK-09A-01R	SRR3162152
TARGET-10-PARMMV-09A-01R	SRR3162154
TARGET-10-PARMUC-03A-01R	SRR3162156
TARGET-10-PARMWH-09A-01R	SRR3162157
TARGET-10-PARNEH-09A-01R	SRR3162159
TARGET-10-PARNJB-09A-01R	SRR3162160
TARGET-10-PARNMV-09A-01R	SRR3162161
