sample_barcode	sample_id
TARGET-50-CAAAAQ-01A-01R_2	SRR1784861
TARGET-50-CAAAAQ-01A-01R_3	SRR1784862
TARGET-50-PALJIP-02A-01R_2	SRR1784863
TARGET-50-PALFME-02A-01R_2	SRR1784864
TARGET-50-PAJNLT-01A-01R_2	SRR1784865
TARGET-50-PAKKSE-01A-01R_2	SRR1784866
TARGET-50-PAJNCJ-01A-01R_2	SRR1784867
TARGET-50-PAKRVH-01A-01R_2	SRR1784868
TARGET-50-PAJMKJ-01A-01R_2	SRR1784869
TARGET-50-PAECJB-01A-01R_2	SRR1796937
TARGET-50-PAKFME-01A-01R_2	SRR1796938
TARGET-50-PALGVY-01A-01R_2	SRR1796939
TARGET-50-PAJNEC-01A-01R_2	SRR1796940
TARGET-50-PAJPDC-02A-01R_2	SRR1796941
TARGET-50-CAAAAS-01A-01R_2	SRR1796942
TARGET-50-PAJMLI-01A-01R_2	SRR1796943
TARGET-50-PAJNUS-01A-01R_2	SRR1796944
TARGET-50-PAJPHA-11A-01R_2	SRR1796945
TARGET-50-PAJNRL-11A-01R_2	SRR1796947
TARGET-50-PAKGZX-01A-01R_2	SRR1796948
TARGET-50-PAJMXF-01A-01R_2	SRR1796949
TARGET-50-CAAAAP-01A-01R_2	SRR1796950
TARGET-50-PAKNAL-01A-01R_2	SRR1796951
TARGET-50-PAJPEW-01A-01R_2	SRR1796952
TARGET-50-PAKVET-01A-01R_2	SRR1796953
TARGET-50-PAJPCM-01A-01R_2	SRR1796954
TARGET-50-PAJNZU-01A-01R_2	SRR1796955
TARGET-50-PAJMFU-01A-01R_2	SRR1796956
TARGET-50-PAJNSL-01A-01R_2	SRR1796957
TARGET-50-PAJMRL-01A-01R_2	SRR1796958
TARGET-50-PAJNNR-01A-01R_2	SRR1796959
TARGET-50-PAJLPX-01A-01R_2	SRR1796960
TARGET-50-CAAAAH-01A-01R_2	SRR1796961
TARGET-50-PAKMUB-01A-02R_2	SRR1796962
TARGET-50-CAAAAL-01A-01R_2	SRR1796963
TARGET-50-PAJNSL-11A-01R_2	SRR1796964
TARGET-50-PALGAZ-01A-01R_2	SRR1796965
TARGET-50-PAKRCC-01A-02R_2	SRR1796966
TARGET-50-PAJNVE-01A-01R_2	SRR1796967
TARGET-50-PAJMFY-01A-01R_2	SRR1796968
TARGET-50-PAJPHA-01A-01R_2	SRR1796969
TARGET-50-PAJNBN-01A-01R_2	SRR1796970
TARGET-50-PAJNCZ-01A-01R_2	SRR1796971
TARGET-50-PAKZER-01A-01R_2	SRR1796972
