sample_barcode	sample_id
TARGET-40-PAVCLP-01A-01R	SRR1811193
TARGET-40-PAUUML-01A-01R	SRR1811194
TARGET-40-PAUVUL-01A-01R	SRR1811195
TARGET-40-PAUXPZ-01A-01R	SRR1811196
TARGET-40-PAUTYB-01A-01R	SRR1811197
TARGET-40-PATKSS-01A-01R	SRR1811198
TARGET-40-PAUTWB-01A-01R	SRR1811199
TARGET-40-PANXSC-01A-01R	SRR1811200
TARGET-40-PALWWX-01A-01R	SRR1811201
TARGET-40-PALWWX-01A-01R	SRR1811202
TARGET-40-PANXSC-01A-01R	SRR1811203
TARGET-40-PAMEKS-01A-01R	SRR1811204
TARGET-40-PAKXLD-01A-01R	SRR1811205
