sample_barcode	sample_id
TARGET-21-PASIGA-41A-01R	SRR1165000
TARGET-21-PAMYMA-41A-01R	SRR1165001
TARGET-21-PASLZE-09A-01R	SRR1165002
TARGET-21-PASDXR-09A-02R	SRR1165003
TARGET-21-PASFJJ-41A-01R	SRR1165004
TARGET-21-PASFHK-09A-01R	SRR1165005
TARGET-21-PATKBK-03A-01R	SRR1165006
TARGET-21-PARNAW-41A-01R	SRR1165007
TARGET-21-PANVPB-09A-02R	SRR1165008
TARGET-21-PASSLT-41A-02R	SRR1165009
TARGET-21-PASNKZ-41A-02R	SRR1165010
TARGET-21-PASYWA-09A-01R	SRR1165011
TARGET-21-PARZIA-41A-02R	SRR1165012
TARGET-21-PASFJJ-09A-01R	SRR1165013
TARGET-21-PATKWH-09A-01R	SRR1165014
TARGET-21-PARLSL-41A-02R	SRR1165015
TARGET-21-PASTZK-41A-03R	SRR1165016
TARGET-21-PARBTV-09A-03R	SRR1165017
TARGET-21-PATJMY-41A-01R	SRR1165018
TARGET-21-PATKKJ-09A-01R	SRR1165019
TARGET-21-PASIGA-09A-01R	SRR1165020
TARGET-21-PARXYR-03A-03R	SRR1165021
TARGET-21-PAMYMA-09A-02R	SRR1165022
TARGET-21-PATHIU-09A-01R	SRR1165023
TARGET-21-PARNAW-09A-01R	SRR1165024
TARGET-21-PASFLG-41A-03R	SRR1165025
TARGET-21-PARXYR-41A-02R	SRR1165026
TARGET-21-PASVJS-09A-01R	SRR1165027
TARGET-21-PASTZK-09A-01R	SRR1165028
TARGET-21-PAMXZY-09A-03R	SRR1165029
TARGET-21-PATKBK-41A-02R	SRR1165030
TARGET-21-PARZIA-09A-01R	SRR1165031
TARGET-21-PATKWH-41A-02R	SRR1165032
TARGET-21-PANZLR-41A-02R	SRR1165033
TARGET-21-PASDXR-41A-03R	SRR1165034
TARGET-21-PATJMY-09A-01R	SRR1165035
TARGET-21-PARHRS-09A-02R	SRR1165036
TARGET-21-PASDKZ-03A-02R	SRR1165037
TARGET-21-PATAIJ-09A-01R	SRR1165038
TARGET-21-PARBTV-41A-02R	SRR1171163
TARGET-21-PASLZE-41A-02R	SRR1171164
TARGET-52-PASXNA-01A-01R	SRR1236358
TARGET-52-PAJNFP-01A-01R	SRR1236359
TARGET-52-PAJNFZ-01A-01R	SRR1236363
TARGET-52-PASZYE-01A-01R	SRR1236364
TARGET-52-PAJNER-01A-01R	SRR1236368
TARGET-52-PATFZZ-01A-01R	SRR1236369
TARGET-52-PARIRN-01A-01R	SRR1236370
TARGET-52-PASABD-01A-01R	SRR1236374
TARGET-52-PATXEE-01A-01R	SRR1236383
TARGET-52-PAUCGJ-01A-01R	SRR1236385
TARGET-52-PAUDPV-01A-01R	SRR1236388
TARGET-52-PATXKA-01A-01R	SRR1236389
TARGET-52-PASCDH-01A-01R	SRR1236396
TARGET-52-PAUEKW-01A-01R	SRR1236403
TARGET-50-PAKYLT-01A-01R	SRR1274435
TARGET-50-PALDTE-01A-01R	SRR1274467
TARGET-50-PAKMSV-01A-01R	SRR1285615
TARGET-50-PAKECR-01A-01R	SRR1285640
TARGET-50-PAEBXA-01A-01R	SRR1285641
TARGET-50-PAJNDU-01A-01R	SRR1285655
TARGET-50-PAJMVC-01A-01R	SRR1285671
TARGET-20-PAKSMZ-03A-02R	SRR1286839
TARGET-20-PARUDL-03A-01R	SRR1286847
TARGET-20-PASCFW-09A-01R	SRR1286875
