sample	caller
BS_4VDW6PZJ	cnvkit
BS_4VDW6PZJ	freec
BS_4VDW6PZJ	manta
BS_4VKRBRJC	cnvkit
BS_4VKRBRJC	freec
BS_4VKRBRJC	manta
BS_4WSW3X49	cnvkit
BS_4ZE1R1FW	cnvkit
BS_4ZE1R1FW	freec
BS_4ZE1R1FW	manta
BS_509Y9HAC	freec
BS_509Y9HAC	manta
BS_50FRT2WZ	freec
BS_50FRT2WZ	manta
BS_54N90X5G	freec
BS_54N90X5G	manta
BS_55AHFCX4	cnvkit
BS_55AHFCX4	manta
BS_55EM1SYG	freec
BS_55EM1SYG	manta
BS_55PH1SAS	cnvkit
BS_55PH1SAS	manta
BS_56CA6BFQ	cnvkit
BS_588QYDB1	cnvkit
BS_588QYDB1	freec
BS_588QYDB1	manta
BS_58BNWGKJ	freec
BS_58BNWGKJ	manta
BS_58X7SKJS	cnvkit
BS_5968GBGT	cnvkit
BS_5968GBGT	freec
BS_59BAHXTQ	cnvkit
BS_59BAHXTQ	freec
BS_59FR1NC2	freec
BS_5ACNB1BG	cnvkit
BS_5ACNB1BG	freec
BS_5BB8J64W	cnvkit
BS_5BFNH9S6	cnvkit
BS_5BFNH9S6	freec
BS_5BFNH9S6	manta
BS_5CR48ZM7	cnvkit
BS_5DXK26YF	cnvkit
BS_5GXQPDM0	freec
BS_5GXQPDM0	manta
BS_5J1YMJFJ	freec
BS_5J1YMJFJ	manta
BS_5J5VH3X0	cnvkit
BS_5NAKYS1S	freec
BS_5PEA35TB	cnvkit
BS_5PEA35TB	freec
BS_5Q092D26	freec
BS_5Q092D26	manta
BS_5QFRPR61	cnvkit
BS_5QH5QN34	freec
BS_5QH5QN34	manta
BS_5V2XCW17	freec
BS_5V568HCM	cnvkit
BS_5V568HCM	freec
BS_5V568HCM	manta
BS_62QS60W1	freec
BS_62QS60W1	manta
BS_633H59TT	freec
BS_633H59TT	manta
BS_64FRMQ0X	freec
BS_64FRMQ0X	manta
BS_64P50TAP	cnvkit
BS_64P50TAP	manta
BS_65F8T6N7	cnvkit
BS_65F8T6N7	manta
BS_67742YD9	freec
BS_67742YD9	manta
BS_69KVWAWK	cnvkit
BS_6AENZKKA	cnvkit
BS_6AENZKKA	freec
BS_6DXZWA9R	freec
BS_6DXZWA9R	manta
BS_6F49F7WH	freec
BS_6FA0NNF1	cnvkit
BS_6FA0NNF1	manta
BS_6FVTM4M0	freec
BS_6FVTM4M0	manta
BS_6GD2WY52	freec
BS_6GD2WY52	manta
